Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,12:50:20.356,target,BB Gun,0s,1,1,1,1,1,1,false
2,12:50:20.947,target,BB Gun,0s,1,1,1,1,1,1,false
3,12:50:21.373,target,BB Gun,0s,1,1,1,1,1,1,false
4,12:50:21.864,target,BB Gun,0s,1,1,1,1,1,1,false
5,12:50:22.223,target,BB Gun,0s,1,1,1,1,1,1,false
6,12:50:22.765,target,BB Gun,0s,1,1,1,1,1,1,false
7,12:50:23.265,target,BB Gun,0s,1,1,1,1,1,1,false
8,12:50:23.765,target,BB Gun,0s,1,1,1,1,1,1,false
9,12:50:24.023,target,BB Gun,0s,1,1,1,1,1,1,false
10,12:50:24.514,target,BB Gun,0s,1,1,1,1,1,1,false
11,12:50:25.256,target,BB Gun,0.267s,2,1,0.5,1,2,0.5,false
12,12:50:25.773,target,BB Gun,0s,1,1,1,1,1,1,false
13,12:50:26.231,target,BB Gun,0s,1,1,1,1,1,1,false
14,12:50:26.715,target,BB Gun,0s,1,1,1,1,1,1,false
15,12:50:27.007,target,BB Gun,0s,1,1,1,1,1,1,false
16,12:50:27.482,target,BB Gun,0s,1,1,1,1,1,1,false
17,12:50:28.023,target,BB Gun,0s,1,1,1,1,1,1,false
18,12:50:28.381,target,BB Gun,0s,1,1,1,1,1,1,false
19,12:50:28.881,target,BB Gun,0s,1,1,1,1,1,1,false
20,12:50:29.189,target,BB Gun,0s,1,1,1,1,1,1,false
21,12:50:29.789,target,BB Gun,0s,1,1,1,1,1,1,false
22,12:50:30.315,target,BB Gun,0s,1,1,1,1,1,1,false
23,12:50:30.965,target,BB Gun,0s,1,1,1,1,1,1,false
24,12:50:31.456,target,BB Gun,0s,1,1,1,1,1,1,false
25,12:50:32.007,target,BB Gun,0s,1,1,1,1,1,1,false
26,12:50:32.506,target,BB Gun,0s,1,1,1,1,1,1,false
27,12:50:32.865,target,BB Gun,0s,1,1,1,1,1,1,false
28,12:50:33.231,target,BB Gun,0s,1,1,1,1,1,1,false
29,12:50:34.007,target,BB Gun,0s,1,1,1,1,1,1,false
30,12:50:34.732,target,BB Gun,0.35s,2,1,0.5,1,2,0.5,false
31,12:50:35.115,target,BB Gun,0s,1,1,1,1,1,1,false
32,12:50:35.632,target,BB Gun,0s,1,1,1,1,1,1,false
33,12:50:36.174,target,BB Gun,0.001s,1,1,1,1,1,1,false
34,12:50:36.382,target,BB Gun,0s,1,1,1,1,1,1,false
35,12:50:36.698,target,BB Gun,0s,1,1,1,1,1,1,false
36,12:50:37.057,target,BB Gun,0.001s,1,1,1,1,1,1,false
37,12:50:37.441,target,BB Gun,0s,1,1,1,1,1,1,false
38,12:50:37.873,target,BB Gun,0s,1,1,1,1,1,1,false
39,12:50:38.524,target,BB Gun,0s,1,1,1,1,1,1,false
40,12:50:38.999,target,BB Gun,0s,1,1,1,1,1,1,false
41,12:50:39.474,target,BB Gun,0s,1,1,1,1,1,1,false
42,12:50:40.032,target,BB Gun,0s,1,1,1,1,1,1,false
43,12:50:40.499,target,BB Gun,0s,1,1,1,1,1,1,false
44,12:50:40.949,target,BB Gun,0s,1,1,1,1,1,1,false
45,12:50:41.415,target,BB Gun,0s,1,1,1,1,1,1,false
46,12:50:41.673,target,BB Gun,0s,1,1,1,1,1,1,false
47,12:50:42.207,target,BB Gun,0s,1,1,1,1,1,1,false
48,12:50:42.565,target,BB Gun,0s,1,1,1,1,1,1,false
49,12:50:43.100,target,BB Gun,0s,1,1,1,1,1,1,false
50,12:50:43.624,target,BB Gun,0s,1,1,1,1,1,1,false
51,12:50:44.857,target,BB Gun,0.775s,2,1,0.5,1,2,0.5,false
52,12:50:45.432,target,BB Gun,0s,1,1,1,1,1,1,false
53,12:50:46.198,target,BB Gun,0.491s,2,1,0.5,1,2,0.5,false
54,12:50:46.665,target,BB Gun,0s,1,1,1,1,1,1,false
55,12:50:47.383,target,BB Gun,0s,1,1,1,1,1,1,false
56,12:50:47.632,target,BB Gun,0s,1,1,1,1,1,1,false
57,12:50:48.232,target,BB Gun,0s,1,1,1,1,1,1,false
58,12:50:48.524,target,BB Gun,0s,1,1,1,1,1,1,false
59,12:50:49.265,target,BB Gun,0s,1,1,1,1,1,1,false
60,12:50:49.515,target,BB Gun,0s,1,1,1,1,1,1,false
61,12:50:50.065,target,BB Gun,0s,1,1,1,1,1,1,false
62,12:50:50.740,target,BB Gun,0s,1,1,1,1,1,1,false
63,12:50:51.057,target,BB Gun,0s,1,1,1,1,1,1,false
64,12:50:51.575,target,BB Gun,0s,1,1,1,1,1,1,false
65,12:50:52.191,target,BB Gun,0s,1,1,1,1,1,1,false
66,12:50:52.682,target,BB Gun,0s,1,1,1,1,1,1,false
67,12:50:53.124,target,BB Gun,0s,1,1,1,1,1,1,false
68,12:50:53.716,target,BB Gun,0s,1,1,1,1,1,1,false
69,12:50:54.341,target,BB Gun,0s,1,1,1,1,1,1,false
70,12:50:54.840,target,BB Gun,0s,1,1,1,1,1,1,false
71,12:50:55.382,target,BB Gun,0s,1,1,1,1,1,1,false
72,12:50:56.007,target,BB Gun,0.323s,2,1,0.5,1,2,0.5,false
73,12:50:56.440,target,BB Gun,0s,1,1,1,1,1,1,false
74,12:50:57.165,target,BB Gun,0s,1,1,1,1,1,1,false
75,12:50:57.908,target,BB Gun,0.001s,1,1,1,1,1,1,false
76,12:50:58.416,target,BB Gun,0s,1,1,1,1,1,1,false
77,12:50:58.833,target,BB Gun,0s,1,1,1,1,1,1,false
78,12:50:59.224,target,BB Gun,0s,1,1,1,1,1,1,false
79,12:50:59.474,target,BB Gun,0s,1,1,1,1,1,1,false
80,12:50:59.891,target,BB Gun,0s,1,1,1,1,1,1,false
81,12:51:00.441,target,BB Gun,0s,1,1,1,1,1,1,false
82,12:51:00.841,target,BB Gun,0s,1,1,1,1,1,1,false
83,12:51:01.174,target,BB Gun,0s,1,1,1,1,1,1,false
84,12:51:01.499,target,BB Gun,0s,1,1,1,1,1,1,false
85,12:51:02.091,target,BB Gun,0s,1,1,1,1,1,1,false
86,12:51:02.399,target,BB Gun,0s,1,1,1,1,1,1,false
87,12:51:02.667,target,BB Gun,0s,1,1,1,1,1,1,false
88,12:51:03.366,target,BB Gun,0.308s,2,1,0.5,1,2,0.5,false
89,12:51:03.924,target,BB Gun,0s,1,1,1,1,1,1,false
90,12:51:04.575,target,BB Gun,0s,1,1,1,1,1,1,false
91,12:51:04.857,target,BB Gun,0s,1,1,1,1,1,1,false
92,12:51:05.266,target,BB Gun,0s,1,1,1,1,1,1,false
93,12:51:05.582,target,BB Gun,0s,1,1,1,1,1,1,false
94,12:51:06.141,target,BB Gun,0s,1,1,1,1,1,1,false
95,12:51:06.399,target,BB Gun,0s,1,1,1,1,1,1,false
96,12:51:06.774,target,BB Gun,0s,1,1,1,1,1,1,false
97,12:51:07.150,target,BB Gun,0s,1,1,1,1,1,1,false
98,12:51:07.483,target,BB Gun,0s,1,1,1,1,1,1,false
99,12:51:08.007,target,BB Gun,0.232s,2,1,0.5,1,2,0.5,false
100,12:51:08.324,target,BB Gun,0s,1,1,1,1,1,1,false
101,12:51:09.008,target,BB Gun,0.225s,2,1,0.5,1,2,0.5,false
102,12:51:09.474,target,BB Gun,0s,1,1,1,1,1,1,false
103,12:51:09.924,target,BB Gun,0s,1,1,1,1,1,1,false
104,12:51:10.617,target,BB Gun,0.001s,1,1,1,1,1,1,false
105,12:51:10.925,target,BB Gun,0s,1,1,1,1,1,1,false
106,12:51:11.425,target,BB Gun,0s,1,1,1,1,1,1,false
107,12:51:12.041,target,BB Gun,0s,1,1,1,1,1,1,false
108,12:51:12.341,target,BB Gun,0s,1,1,1,1,1,1,false
109,12:51:12.900,target,BB Gun,0s,1,1,1,1,1,1,false
110,12:51:13.341,target,BB Gun,0s,1,1,1,1,1,1,false
111,12:51:13.649,target,BB Gun,0s,1,1,1,1,1,1,false
112,12:51:14.224,target,BB Gun,0s,1,1,1,1,1,1,false
113,12:51:14.641,target,BB Gun,0s,1,1,1,1,1,1,false
114,12:51:15.074,target,BB Gun,0s,1,1,1,1,1,1,false
115,12:51:15.575,target,BB Gun,0s,1,1,1,1,1,1,false
116,12:51:16.008,target,BB Gun,0s,1,1,1,1,1,1,false
117,12:51:16.408,target,BB Gun,0s,1,1,1,1,1,1,false
118,12:51:17.700,target,BB Gun,0.942s,3,1,0.333,1,3,0.333,false
119,12:51:18.266,target,BB Gun,0s,1,1,1,1,1,1,false
120,12:51:19.074,target,BB Gun,0s,1,1,1,1,1,1,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
BB Gun,130,120,120.0,130.0,

Kills:,120
Deaths:,0
Fight Time:,3.917
Avg TTK:,0.5
Damage Done:,120.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,110.769234
Scenario:,1wall6targets TE
Hash:,3e50391f3c3f484c10a4b8fb362ded17
Game Version:,2.0.1.2

Input Lag:,0
Max FPS (config):,120.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
FOV:,90.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
