Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,12:09:11.811,Quaker Bot Long Strafes,LG,4.408s,97,50,0.515,300,582,0.515,false
2,12:09:19.920,Quaker Bot Long Strafes,LG,6.25s,137,50,0.365,300,822,0.365,false
3,12:09:27.755,Quaker Bot Long Strafes,LG,5.975s,131,50,0.382,300,786,0.382,false
4,12:09:36.212,Quaker Bot Long Strafes,LG,6.575s,144,50,0.347,300,864,0.347,false
5,12:09:43.929,Quaker Bot Long Strafes,LG,5.842s,128,50,0.391,300,768,0.391,false
6,12:11:48.212,Quaker Bot Long Strafes,LG,124.009s,132,50,0.379,300,792,0.379,false
7,12:11:56.404,Quaker Bot Long Strafes,LG,7.916s,139,50,0.36,300,834,0.36,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,1011,377,2262.0,6066.0,

Kills:,7
Deaths:,0
Fight Time:,160.975006
Avg TTK:,8.571
Damage Done:,2262.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,2530.486816
Scenario:,Cata IC Long Strafes
Hash:,9bcb93b2f0c30298e66553395dca1bca
Game Version:,2.0.1.2

Input Lag:,0
Max FPS (config):,120.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
FOV:,90.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
