Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,12:53:17.379,target,pistol,0s,1,1,1,25,50,0.5,false
2,12:53:17.895,target,pistol,0s,1,1,1,25,50,0.5,false
3,12:53:18.238,target,pistol,0.001s,1,1,1,25,50,0.5,false
4,12:53:18.990,target,pistol,0.433s,2,1,0.5,25,100,0.25,false
5,12:53:19.432,target,pistol,0s,1,1,1,25,50,0.5,false
6,12:53:19.707,target,pistol,0.001s,1,1,1,25,50,0.5,false
7,12:53:20.115,target,pistol,0s,1,1,1,25,50,0.5,false
8,12:53:20.416,target,pistol,0s,1,1,1,25,50,0.5,false
9,12:53:20.791,target,pistol,0s,1,1,1,25,50,0.5,false
10,12:53:21.083,target,pistol,0s,1,1,1,25,50,0.5,false
11,12:53:21.441,target,pistol,0s,1,1,1,25,50,0.5,false
12,12:53:21.716,target,pistol,0.001s,1,1,1,25,50,0.5,false
13,12:53:21.974,target,pistol,0s,1,1,1,25,50,0.5,false
14,12:53:22.316,target,pistol,0.001s,1,1,1,25,50,0.5,false
15,12:53:22.657,target,pistol,0s,1,1,1,25,50,0.5,false
16,12:53:22.990,target,pistol,0s,1,1,1,25,50,0.5,false
17,12:53:23.224,target,pistol,0s,1,1,1,25,50,0.5,false
18,12:53:23.549,target,pistol,0s,1,1,1,25,50,0.5,false
19,12:53:23.907,target,pistol,0s,1,1,1,25,50,0.5,false
20,12:53:24.682,target,pistol,0.492s,2,1,0.5,25,100,0.25,false
21,12:53:24.891,target,pistol,0s,1,1,1,25,50,0.5,false
22,12:53:25.266,target,pistol,0s,1,1,1,25,50,0.5,false
23,12:53:25.483,target,pistol,0.001s,1,1,1,25,50,0.5,false
24,12:53:25.882,target,pistol,0s,1,1,1,25,50,0.5,false
25,12:53:26.132,target,pistol,0s,1,1,1,25,50,0.5,false
26,12:53:26.374,target,pistol,0s,1,1,1,25,50,0.5,false
27,12:53:26.633,target,pistol,0s,1,1,1,25,50,0.5,false
28,12:53:26.982,target,pistol,0s,1,1,1,25,50,0.5,false
